,count_images,last_seen_hrs,count_views,advert_price,feedback_count,listing_duration,weeks_active,moderated_duration
83,2.0,11.0,26,28000,4,715.0,156,47.0
181,2.0,14.0,53,13000,3,75.0,28,31.0
224,1.0,14.0,54,9000,3,75.0,28,31.0
316,1.0,14.0,71,8000,3,69.0,28,31.0
319,3.0,3.0,13,8750,0,27.0,124,21.0
481,1.0,14.0,94,4300,3,75.0,28,31.0
483,1.0,14.0,70,4800,3,67.0,28,31.0
515,1.0,14.0,74,17000,3,67.0,28,31.0
523,1.0,14.0,40,6500,3,115.0,28,31.0
599,3.0,14.0,57,16500,3,61.0,28,31.0
631,1.0,14.0,30,22000,3,110.0,28,31.0
659,1.0,14.0,51,6700,3,71.0,28,31.0
703,1.0,14.0,44,6000,3,54.0,28,54.0
729,3.0,14.0,44,8500,3,83.0,28,31.0
746,1.0,14.0,39,6500,3,83.0,28,31.0
810,1.0,3.0,42,8500,3,46.0,160,35.0
928,1.0,3.0,50,4500,3,43.0,160,35.0
997,1.0,14.0,121,7500,3,82.0,28,31.0
1008,7.0,24.0,97,12000,0,60.0,16,6.0
1044,1.0,3.0,46,11500,3,51.0,160,35.0
1104,1.0,9.0,70,7999,18,83.0,160,83.0
1211,5.0,14.0,51,14500,3,81.0,28,31.0
1238,2.0,3.0,98,89000,3,531.0,160,32.0
1268,3.0,14.0,40,5000,3,82.0,28,31.0
1317,1.0,3.0,45,6500,3,271.0,160,33.0
1324,2.0,14.0,51,13000,3,62.0,28,31.0
1363,3.0,14.0,52,9500,3,62.0,28,31.0
1469,2.0,14.0,36,12500,3,83.0,28,31.0
1523,4.0,14.0,79,5500,3,73.0,28,31.0
1524,1.0,14.0,37,12500,3,120.0,28,31.0
1536,1.0,14.0,23,38000,3,54.0,28,31.0
1563,2.0,3.0,79,2000,3,270.0,160,33.0
1576,4.0,3.0,114,135000,3,364.0,160,31.0
1684,1.0,14.0,27,7000,3,120.0,28,31.0
1809,1.0,14.0,64,6800,3,120.0,28,31.0
1822,1.0,14.0,23,25000,0,97.0,160,22.0
1847,2.0,14.0,96,8800,3,83.0,28,31.0
1910,1.0,3.0,78,135000,3,527.0,160,31.0
2081,1.0,3.0,53,22000,0,97.0,160,97.0
2254,1.0,14.0,18,11500,3,61.0,28,31.0
2275,3.0,24.0,32,10000,0,30.0,64,30.0
2288,1.0,12.0,52,6500,4,178.0,156,47.0
2433,3.0,14.0,71,4800,3,75.0,28,31.0
2519,1.0,12.0,44,7800,4,696.0,156,47.0
2534,3.0,14.0,28,4500,3,29.0,28,29.0
2699,2.0,10.0,57,7999,18,131.0,160,131.0
2870,1.0,14.0,60,14500,3,62.0,28,31.0
2874,1.0,168.0,40,20000,0,30.0,160,9.0
3172,3.0,14.0,39,4800,3,61.0,28,31.0
3192,3.0,14.0,58,7500,3,62.0,28,31.0
3228,1.0,10.0,130,7999,18,80.0,160,80.0
3262,3.0,14.0,47,8000,3,83.0,28,31.0
3516,1.0,15.0,41,9200,3,120.0,28,31.0
3552,1.0,15.0,70,14000,3,82.0,28,31.0
3885,2.0,10.0,25,7999,18,71.0,160,71.0
4173,2.0,15.0,56,35000,6,36.0,148,36.0
4299,2.0,15.0,36,1500,24,1085.0,160,35.0
4609,2.0,12.0,32,4500,4,179.0,156,47.0
5459,1.0,13.0,62,1600,4,92.0,156,47.0
6040,1.0,15.0,21,8500,3,54.0,28,39.0
6112,1.0,15.0,16,15500,3,62.0,28,31.0
6154,2.0,13.0,27,13500,4,339.0,156,47.0
6327,2.0,13.0,20,11000,4,340.0,156,47.0
6354,3.0,15.0,25,8000,3,31.0,28,28.0
6623,2.0,13.0,30,5000,4,340.0,156,47.0
6641,2.0,11.0,16,7999,18,162.0,160,140.0
6708,5.0,11.0,45,7999,18,459.0,160,140.0
6941,2.0,11.0,27,7999,18,488.0,160,140.0
6992,1.0,17.0,37,1700,1,250.0,52,5.0
7101,2.0,11.0,23,7499,18,979.0,160,140.0
7264,2.0,16.0,44,4800,3,75.0,28,31.0
7629,1.0,16.0,56,8000,3,82.0,28,31.0
7719,2.0,11.0,139,7999,18,263.0,160,140.0
7922,6.0,5.0,63,25000,1,819.0,160,3.0
7983,1.0,16.0,29,15500,3,61.0,28,31.0
8865,2.0,16.0,69,9000,3,83.0,28,31.0
9248,1.0,24.0,3,7000,5,433.0,160,103.0
9253,6.0,5.0,57,1500,0,288.0,164,8.0
9859,1.0,17.0,61,4800,3,138.0,28,31.0
9968,4.0,3.0,26,165000,2,482.0,160,42.0
10837,2.0,12.0,5,7999,18,81.0,160,81.0
10915,2.0,12.0,2,7999,18,60.0,160,60.0
10916,2.0,12.0,3,7999,18,60.0,160,60.0
10952,2.0,14.0,12,5500,4,339.0,156,47.0
10978,2.0,12.0,3,7999,18,81.0,160,81.0
11017,2.0,12.0,32,7999,18,322.0,160,140.0
